  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Pb04   82  204  1.1017E+00  1.2258E+00  1.4629E+00  1.7603E+00  1.0000E+00  1.0000E+00  1.0235E+00  1.0795E+00  1.1077E+00
Pb06   82  206  1.0030E+00  1.0238E+00  1.1197E+00  1.2154E+00  9.9996E-01  1.0000E+00  1.0021E+00  1.0084E+00  1.0114E+00
Pb07   82  207  9.8831E-01  9.9369E-01  1.0552E+00  1.2416E+00  9.9999E-01  9.9999E-01  1.0004E+00  1.0017E+00  1.0023E+00
Pb08   82  208  9.8646E-01  9.8591E-01  1.0277E+00  1.1166E+00  1.0000E+00  1.0000E+00  1.0004E+00  1.0017E+00  1.0023E+00
Bi09   83  209  9.7109E-01  9.5710E-01  9.5912E-01  9.7896E-01  9.9999E-01  1.0000E+00  9.9970E-01  9.9852E-01  9.9801E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
H       1    1  6.0014E-01  5.0259E-01  4.9394E-01  4.6764E-01  6.3580E-01  6.0231E-01  5.6843E-01  5.4990E-01  4.7866E-01
H2      1    2  6.3702E-13  4.1796E-11  4.8286E-08  8.2815E-07  4.2321E-07  1.0933E-05  1.6959E-04  2.9235E-04  9.6283E-04
He3     2    3  6.8794E-01  5.4995E-01  4.9800E-01  4.4569E-01  5.8043E-01  4.9552E-01  4.5227E-01  3.7412E-01  3.7261E-01
He4     2    4  1.3569E+00  1.1936E+00  1.3743E+00  1.3892E+00  1.9185E+00  1.9979E+00  2.0563E+00  2.0890E+00  2.3288E+00
Li6     3    6  3.9608E-04  5.6294E-04  1.1231E-03  1.4619E-03  2.3362E-03  2.6340E-03  3.2689E-03  1.5873E-03  1.8308E-03
Li7     3    7  6.4250E-04  9.6254E-04  1.7783E-03  2.4364E-03  3.5394E-03  3.6498E-03  5.4372E-03  2.5087E-03  2.2859E-03
Be9     4    9  1.0436E-03  1.4951E-03  2.7644E-03  4.0502E-03  5.9707E-03  5.2890E-03  5.8459E-03  3.3372E-03  3.1330E-03
B10     5   10  1.6162E-03  2.2522E-03  4.0607E-03  5.9991E-03  9.1601E-03  7.1827E-03  8.4012E-03  4.8015E-03  4.1248E-03
B11     5   11  7.8257E-02  6.6430E-02  5.9941E-02  5.2701E-02  7.1476E-02  6.9694E-02  7.3051E-02  6.0660E-02  6.8817E-02
C12     6   12  1.4323E+01  1.0989E+01  2.7083E+01  2.7247E+01  6.9316E+00  8.1521E+00  1.1712E+01  1.3260E+01  9.2608E+00
C13     6   13  3.1459E+00  1.8691E+00  4.5716E+00  3.9259E+00  4.9656E+00  3.9022E+00  2.1801E+00  1.6029E+00  8.8201E-01
N14     7   14  5.1694E+00  4.1820E+00  5.6008E+00  5.5072E+00  8.2291E+00  8.8386E+00  8.5469E+00  8.7127E+00  8.7884E+00
